WKT,InputID,TargetID,Distance
"MULTIPOINT ((-71.661999 -35.432349),(-71.596878 -35.366472))",TALCA,PANGUILEMO,9402.99297647628
"MULTIPOINT ((-71.661999 -35.432349),(-71.564319 -35.447493))",TALCA,HUILQUILEMU,9026.79220959108
"MULTIPOINT ((-72.412391 -35.335426),(-71.661999 -35.432349))",TALCA,CONSTITUCION,69023.0636402759
"MULTIPOINT ((-72.333641 -35.427048),(-71.661999 -35.432349))",TALCA,SANTA OLGA,60993.4379784309
"MULTIPOINT ((-72.494926 -35.469452),(-71.661999 -35.432349))",TALCA,LOS PELLINES,75728.6605369402
"MULTIPOINT ((-72.020157 -35.096149),(-71.661999 -35.432349))",TALCA,CUREPTO,49531.6731597292
"MULTIPOINT ((-72.281394 -35.592119),(-71.661999 -35.432349))",TALCA,EMPEDRADO,58918.5435336307
"MULTIPOINT ((-71.695315 -35.520942),(-71.661999 -35.432349))",TALCA,MAULE,10283.8732323179
"MULTIPOINT ((-71.692287 -35.458094),(-71.661999 -35.432349))",TALCA,CULENAR,3964.93383813168
"MULTIPOINT ((-71.702888 -35.449764),(-71.661999 -35.432349))",TALCA,VILLA FRANCIA,4185.24256034076
"MULTIPOINT ((-71.688501 -35.498226),(-71.661999 -35.432349))",TALCA,CHACARILLAS,7694.67688645236
"MULTIPOINT ((-71.661999 -35.432349),(-71.446951 -35.383887))",TALCA,PELARCO,20259.8583574822
"MULTIPOINT ((-71.807382 -35.392217),(-71.661999 -35.432349))",TALCA,PENCAHUE,13935.3158235621
"MULTIPOINT ((-71.661999 -35.432349),(-71.256893 -35.281664))",TALCA,CUMPEO,40437.6763910594
"MULTIPOINT ((-71.661999 -35.432349),(-71.487841 -35.534572))",TALCA,SAN CLEMENTE,19452.8449628067
"MULTIPOINT ((-71.661999 -35.432349),(-71.523429 -35.309681))",TALCA,SAN RAFAEL,18541.6582825922
"MULTIPOINT ((-72.320012 -35.966937),(-71.661999 -35.432349))",TALCA,CAUQUENES,84051.6544854612
"MULTIPOINT ((-72.534301 -35.737503),(-71.661999 -35.432349))",TALCA,CHANCO,86004.2096433158
"MULTIPOINT ((-72.576705 -35.815496),(-71.661999 -35.432349))",TALCA,PELLUHUE,93130.8350629383
"MULTIPOINT ((-72.708459 -35.937406),(-71.661999 -35.432349))",TALCA,QUILICURA,110059.632933847
"MULTIPOINT ((-71.661999 -35.432349),(-71.240234 -34.978782))",TALCA,CURICO,63301.992296322
"MULTIPOINT ((-71.661999 -35.432349),(-71.197073 -34.940164))",TALCA,SARMIENTO,69100.2349425961
"MULTIPOINT ((-71.661999 -35.432349),(-71.331099 -34.936378))",TALCA,VILLA LOS NICHES,62738.458346503
"MULTIPOINT ((-71.661999 -35.432349),(-71.10015 -34.96288))",TALCA,SAN ALBERTO,73012.3646653764
"MULTIPOINT ((-71.803596 -34.974238),(-71.661999 -35.432349))",TALCA,HUALA�E,52434.8735670428
"MULTIPOINT ((-71.984569 -34.984839),(-71.661999 -35.432349))",TALCA,LICANTEN,57686.1609486983
"MULTIPOINT ((-72.186743 -34.946222),(-71.661999 -35.432349))",TALCA,ILOCA,72061.2665943251
"MULTIPOINT ((-71.661999 -35.432349),(-71.283395 -35.115836))",TALCA,MOLINA,49190.0504371811
"MULTIPOINT ((-71.661999 -35.432349),(-71.358358 -35.137795))",TALCA,ITAHUE UNO,42789.5007702316
"MULTIPOINT ((-71.661999 -35.432349),(-71.318226 -34.924263))",TALCA,RAUCO,64482.7625352275
"MULTIPOINT ((-71.661999 -35.432349),(-71.133468 -34.961366))",TALCA,ROMERAL,71042.8404718778
"MULTIPOINT ((-71.661999 -35.432349),(-71.332613 -35.004527))",TALCA,SAGRADA  FAMILIA,56144.5083241888
"MULTIPOINT ((-71.661999 -35.432349),(-71.606722 -35.090848))",TALCA,VILLA PRAT,38220.3894422376
"MULTIPOINT ((-71.661999 -35.432349),(-71.166785 -34.871258))",TALCA,TENO,76883.4589694408
"MULTIPOINT ((-72.082248 -34.762977),(-71.661999 -35.432349))",TALCA,LLICO,83564.5695186394
"MULTIPOINT ((-71.993655 -34.881859),(-71.661999 -35.432349))",TALCA,LAGO VICHUQUEN,68140.0771809724
"MULTIPOINT ((-71.661999 -35.432349),(-71.590821 -35.84957))",TALCA,LINARES,46738.3775762546
"MULTIPOINT ((-71.661999 -35.432349),(-71.501471 -35.828368))",TALCA,VARA GRUESA,46282.7167068555
"MULTIPOINT ((-71.684715 -35.848055),(-71.661999 -35.432349))",TALCA,LAS OBRAS,46169.4203108794
