InputID,TargetID,Distance
Curepto,Hualañé,29716.3278621182
Curepto,Rauco,52563.8135766432
Curepto,Linares,107815.012336896
Curepto,Longaví,118310.317563328
Curepto,Talca,45958.6687195469
Curepto,Chanco,79516.6001879293
Curepto,Empedrado,61529.7044141057
Curepto,Pencahue,25228.7371519793
Curepto,Cauquenes,97994.7464592211
Curepto,Río Claro,63901.7988449735
Curepto,Pelarco,61650.4874449253
Curepto,San Javier,55444.4686197751
Curepto,Pelluhue,105106.078572544
Curepto,Constitución,39187.5820125645
Curepto,Licantén,19849.4699247521
Curepto,Vichuquén,32620.0320357727
Curepto,Sagrada Familia,41769.1268421824
Curepto,Retiro,97445.7514336256
Curepto,Curicó,96673.3351652982
Curepto,Molina,98137.008369152
Curepto,Villa Alegre,66361.718116644
Curepto,Yerbas Buenas,72380.0171338305
Curepto,Maule,47470.6749802314
Curepto,San Rafael,45400.6859643363
Curepto,Teno,89133.0257032956
Curepto,Romeral,113414.140454306
Curepto,Parral,128686.527945521
Curepto,Colbún,137379.984171594
Curepto,San Clemente,119374.023203697
Empedrado,Hualañé,90091.5620842108
Empedrado,Rauco,108200.482325137
Empedrado,Linares,94212.8723785901
Empedrado,Longaví,94037.1460763221
Empedrado,Talca,65204.8127922023
Empedrado,Chanco,20518.050594676
Empedrado,Curepto,61529.7044141056
Empedrado,Pencahue,53013.6834653167
Empedrado,Cauquenes,39717.3100204962
Empedrado,Río Claro,100115.285345544
Empedrado,Pelarco,88538.6625569194
Empedrado,San Javier,32392.8762302954
Empedrado,Pelluhue,44141.4595410388
Empedrado,Constitución,27777.7067275961
Empedrado,Licantén,73800.4266624574
Empedrado,Vichuquén,88913.1608018133
Empedrado,Sagrada Familia,91274.3288895035
Empedrado,Retiro,59579.504105876
Empedrado,Curicó,134275.604502614
Empedrado,Molina,128042.615426092
Empedrado,Villa Alegre,54987.7446635336
Empedrado,Yerbas Buenas,67553.3417739416
Empedrado,Maule,53248.597858458
Empedrado,San Rafael,79044.605793376
Empedrado,Teno,140277.215290947
Empedrado,Romeral,155250.0648006
Empedrado,Parral,92211.2764497695
Empedrado,Colbún,128754.905328284
Empedrado,San Clemente,130507.133014237
Pencahue,Hualañé,42733.0276991203
Pencahue,Rauco,55946.3490978854
Pencahue,Linares,82602.1122740981
Pencahue,Longaví,93294.0894736786
Pencahue,Talca,22408.2144734312
Pencahue,Chanco,73346.6573663818
Pencahue,Curepto,25228.7371519794
Pencahue,Empedrado,53013.6834653168
Pencahue,Cauquenes,82901.8433476907
Pencahue,Río Claro,50280.6501325043
Pencahue,Pelarco,42824.1475859823
Pencahue,San Javier,34933.8718042135
Pencahue,Pelluhue,96629.2101343874
Pencahue,Constitución,41993.8817750902
Pencahue,Licantén,45078.2037024316
Pencahue,Vichuquén,57125.4619340516
Pencahue,Sagrada Familia,38300.1914585013
Pencahue,Retiro,74867.2656166899
Pencahue,Curicó,85005.4834660219
Pencahue,Molina,82462.7221510146
Pencahue,Villa Alegre,41523.6059345823
Pencahue,Yerbas Buenas,47160.0818292675
Pencahue,Maule,22274.137574075
Pencahue,San Rafael,28814.5893679794
Pencahue,Teno,87314.1302907714
Pencahue,Romeral,104648.321322025
Pencahue,Parral,104839.90432519
Pencahue,Colbún,112638.375523917
Pencahue,San Clemente,97658.5221611775
Linares,Hualañé,116713.4789582
Linares,Rauco,113517.582834408
Linares,Longaví,19558.8842790063
Linares,Talca,63749.6861310849
Linares,Chanco,108110.773657439
Linares,Curepto,107815.012336897
Linares,Empedrado,94212.8723785902
Linares,Pencahue,82602.1122740979
Linares,Cauquenes,85590.1442856387
Linares,Río Claro,77665.2759603156
Linares,Pelarco,63867.2184567449
Linares,San Javier,65040.730699764
Linares,Pelluhue,115228.876554241
Linares,Constitución,108029.609547941
Linares,Licantén,127656.8204219
Linares,Vichuquén,138906.207898683
Linares,Sagrada Familia,95978.3666972747
Linares,Retiro,45131.1016203163
Linares,Curicó,93073.6384206914
Linares,Molina,77304.0533400962
Linares,Villa Alegre,43870.6664655133
Linares,Yerbas Buenas,35445.3375033504
Linares,Maule,60526.5491872771
Linares,San Rafael,74382.7626913044
Linares,Teno,122050.381592993
Linares,Romeral,113681.608238887
Linares,Parral,43953.6307927867
Linares,Colbún,34545.6797778785
Linares,San Clemente,51548.6981721198
Longaví,Hualañé,130766.841695358
Longaví,Rauco,130106.877392998
Longaví,Linares,19558.8842790066
Longaví,Talca,77163.4854880158
Longaví,Chanco,104747.970997868
Longaví,Curepto,118310.317563328
Longaví,Empedrado,94037.1460763221
